Customer Group,Customer,Address,Warehouse,Order Date,Due Date,Days Til Due,Order Number,Ln,Cust Ref,Product,Description,Ordered Qty,Ordered $AUD,Sales Price,Qty In Despatch,Qty Despatched,Invoiced Qty,Outstanding Qty,Outstanding $AUD
4 STEEL SUPPLIES (3-4STEEL),4 STEEL SUPPLIES (MC0001),4 STEEL SUPPLIES (DEFAULT),M1,2025-11-12 00:00:00,2025-11-20 00:00:00,-31,226675  ,2,3372                ,SMF24120507504G,50x75x2400x1200x4mm Ind Mesh IMG4-23-2412,50,1194.5,23.89,0,0,0,50,1194.5
4 STEEL SUPPLIES (3-4STEEL),4 STEEL SUPPLIES (MC0001),4 STEEL SUPPLIES (DEFAULT),M1,2025-11-12 00:00:00,2025-11-20 00:00:00,-31,226675  ,3,3372                ,SMF30240505004G,50x50x3000x2400x4mm Weld Mesh IMG4-22-3024,50,3151,63.02,0,0,0,50,3151
ASW CASH (3-ASWCA),ASW CASH (MC0000),ASW CASH (INVOICE),M1,2025-10-05 00:00:00,2025-10-10 00:00:00,-72,225374  ,2,MANJIMUP SPEEDWAY   ,SMF3H51245050G ,50X50X5100X2400X3.15MM GAL IND MESH ,180,19431,107.95,0,0,0,180,19431
ASW CASH (3-ASWCA),ASW CASH (MC0000),ASW CASH (INVOICE),M1,2025-12-03 00:00:00,2025-12-09 00:00:00,-12,227388  ,1,WESTKON 2531        ,T120X100M126060,TG120-12/60/60-10.0M ,400,24920,62.3,0,0,0,400,24920
ASW CASH (3-ASWCA),ASW CASH (MC0000),ASW CASH (INVOICE),M1,2025-12-03 00:00:00,2025-12-09 00:00:00,-12,227388  ,2,WESTKON 2531        ,T120X130M126060,TG120-12/60/60-13.0M ,62,5021.38,80.99,0,0,0,62,5021.38
ASW CASH (3-ASWCA),ASW CASH (MC0000),ASW CASH (INVOICE),Un,2025-12-03 00:00:00,2025-12-09 00:00:00,-12,227388  ,3,WESTKON 2531        ,4ASWMISC       ,ASW MISCELLANEOUS SALES ,1,1500,1500,0,0,0,1,1500
ASW CASH (3-ASWCA),ASW CASH (MC0000),ASW CASH (INVOICE),Un,2025-12-03 00:00:00,2025-12-09 00:00:00,-12,227388  ,4,WESTKON 2531        ,4FREIGHT       ,Freight Out Charge ,1,7084,7084,0,0,0,1,7084
ASW CASH (3-ASWCA),ASW CASH (MC0000),ASW CASH (INVOICE),M1,2025-12-08 00:00:00,2025-12-10 00:00:00,-11,227556  ,1,AMH FAB 8.12.25     ,SMF3H30242525G ,25x25x3000x2400x3.15 Ind Mesh IMG3H-11-3024,50,5264.5,105.29,0,0,0,50,5264.5
ASW CASH (3-ASWCA),ASW CASH (MC0000),ASW CASH (INVOICE),M1,2025-12-08 00:00:00,2025-12-10 00:00:00,-11,227556  ,2,AMH FAB 8.12.25     ,SMF3H24122525G ,25x25x2400x1200x3.15mm Ind Mes IMG3H-11-2412,12,396,33,0,0,0,12,396
ASW CASH (3-ASWCA),ASW CASH (MC0000),ASW CASH (INVOICE),M1,2025-12-19 00:00:00,2025-12-23 00:00:00,2,227880  ,1,RENEE HOPE          ,SYARD601110155G,100x150x6000x1100x5 Sheepyard IMG5-46-6011,8,593.2,74.15,0,0,0,8,593.2
