CC,Vendor,PO #,Vendor Ref,Order Date,PO Line,Seq,Required Date,WH,Part Code,Part Desc,UOM,Order Qty,Accepted Qty,Outstanding Qty
1W,MV0034,250357,Order from Ryan,2025-04-04 00:00:00,2,1,2025-04-30 00:00:00,MT,CW500L6,6.0mm Bright Wire in Coils R500L6.0-Coils,TONN,24,24.126,-0.126
1W,MV0034,251084,Richard,2025-05-16 00:00:00,15,1,2025-05-31 00:00:00,MT,SMB5414101005C,MESH ROOF 5.40 M X 1.40M 100X100 APT 5.0MM WIRE IMB5-44-5414-JEN,EA,1755,1755,0
1W,MV0034,251279,2025.05.23 & 27 Richard,2025-05-27 00:00:00,2,1,2025-05-27 00:00:00,MT,JFL4724G,FRICTION LOK BOLT 47MMX2400MM - GAL 150 BOLTS PER PACK,EA,19350,19350,0
1W,MV0034,251543,Richard 120625,2025-06-12 00:00:00,3,1,2025-07-21 00:00:00,MT,SMB5016151005S,MESH ROOF 5.00MX1.55M 100X100 APT 5.0MM WIRE SLG IMB5-46-5016-JNA,EA,1584,1474,110
1W,MV0034,252134,Richard 150725,2025-07-15 00:00:00,2,1,2025-07-26 00:00:00,MT,CCP48241010056G,Mine Mesh 4800X2400mm 100x100mm Apt 5.6mm wire Galv IMG5H-44-4824,EA,2500,2400,100
1W,MV0034,252540,Richard 090825,2025-08-10 00:00:00,1,1,2025-09-28 00:00:00,MT,SMESH300011704,SHOTCRETE MESH 3.00MX1.17M 4MM WIRE - GAL IMG4D-66-3012,EA,3000,1305,1695
1W,MV0034,252541,Richard 090825,2025-08-10 00:00:00,2,1,2025-09-28 00:00:00,MT,SMESH300011704,SHOTCRETE MESH 3.00MX1.17M 4MM WIRE - GAL IMG4D-66-3012,EA,2550,0,2550
1W,MV0034,252543,Richard 090825,2025-08-10 00:00:00,1,1,2025-09-07 00:00:00,MT,SMB5113515105S,MESH ROOF 5.10MX1.35M 150X100 APT 5.0MM WIRE SLG IMB5-64-5113-JMOL,EA,2772,2244,528
1W,MV0034,252546,Richard 090825,2025-08-10 00:00:00,1,1,2025-09-07 00:00:00,MT,CC2015101004G,Mesh Rib 2M x 1.5M 100 x 100 Apt 4.0mm wire Gal IMG4-44-2015-JNA,EA,6000,0,6000
1W,MV0034,252636,Richard,2025-08-14 00:00:00,1,1,2025-09-07 00:00:00,MT,SMF2420101003,100x100x2400x2000x3.15 Ind Mes IMB3H-44-2420-DCLA,EA,2800,100,2700
1W,MV0034,252742,Richard,2025-08-21 00:00:00,1,1,2025-09-03 00:00:00,MT,GXB50121010VGUW,GX MESH - ROOF 5.0M X 1.2M GAL GLENCORE COAL MAT # 400195486 - ULAN WEST,EA,6000,5640,360
1W,MV0034,253124,Richard,2025-09-11 00:00:00,1,1,2025-10-12 00:00:00,MT,SMB5118151505,150x150x5100x1700x4x5 IMB45-66-5117-DEN,EA,1080,0,1080
1W,MV0034,253126,Richard,2025-09-11 00:00:00,1,1,2025-10-12 00:00:00,MT,SMB5113515105S,MESH ROOF 5.10MX1.35M 150X100 APT 5.0MM WIRE SLG IMB5-64-5113-JMOL,EA,2772,0,2772
1W,MV0034,253128,Richard,2025-09-11 00:00:00,1,1,2025-10-19 00:00:00,MT,GXB5614101004G,GX MESH ROOF 5.60M X 1.40M 100X100 APT 4.0MM WIRE - GAL  ,EA,2160,0,2160
1W,MV0034,253130,Richard,2025-09-11 00:00:00,1,1,2025-10-26 00:00:00,MT,SMF2618101003,100x100x2600x1800x3.15 Ind Mes IMB3H-44-2618-DAIR,EA,1224,1223,1
1W,MV0034,253133,Adam,2025-09-11 00:00:00,1,1,2025-10-26 00:00:00,MT,COILGW5.6,5.55mm Galv Wire In Coils COILGW5.6,TONN,1000,966.36,33.64
1W,MV0034,253296,Terry,2025-09-22 00:00:00,1,1,2025-10-26 00:00:00,MT,GXB48121010VGDE,GX MESH - ROOF 4.8M X 1.2M GAL DENDROBIUM MAT # 10992135,EA,50,0,50
1W,MV0034,253428,Adam,2025-09-29 00:00:00,1,1,2025-11-02 00:00:00,MT,CCP40241010056G,MESH MINE 4.0MX2.4M 100X100 APT 5.6MM WIRE - GAL IMG5H-44-4024,EA,1200,0,1200
1W,MV0034,253436,Adam,2025-09-30 00:00:00,2,1,2025-10-19 00:00:00,MM,CCP45241010056G,MESH MINE 4.5MX2.4M 100X100 AP IMG5H-44-4524_JEN,EA,3300,0,3300
1W,MV0034,253437,Adam,2025-09-30 00:00:00,2,1,2025-11-02 00:00:00,MM,CCP45241010056G,MESH MINE 4.5MX2.4M 100X100 AP IMG5H-44-4524_JEN,EA,3300,0,3300
1W,MV0034,253438,Adam,2025-09-30 00:00:00,2,1,2025-11-16 00:00:00,MM,CCP45241010056G,MESH MINE 4.5MX2.4M 100X100 AP IMG5H-44-4524_JEN,EA,3300,0,3300
1W,MV0034,253439,Adam,2025-09-30 00:00:00,1,1,2025-11-30 00:00:00,MM,CCP45241010056G,MESH MINE 4.5MX2.4M 100X100 AP IMG5H-44-4524_JEN,EA,3300,0,3300
