order_date,reqn,description_mesh,ross_code,qty,shipment_date_week_request,shipping_terms,balance_outstanding,shpd_wk,qty_1,shpd_wk_1,qty_2,shpd_wk_2,qty_3,shpd_wk_3,qty_4,ordered_by,planned_shipping_date,acknowledged_by,destination_port,crosscheck_by_eug,go_nogo,special_requirements,additional_comments
2024-11-05,BNE2219,IMG3H-23-2412,SMF3H24125075G,200.0,WK49,CIF,0.0,13,200.0,,,,,,,Richard,Delayed to wk 12,Lew,Brisbane,B - 5193 - 200p - 21.3.25,                                                                                                    ,,
2024-11-05,PER2227,IMG4-22-2412,SMF24120505004G,1000.0,WK50,CIF,-80.0,15,1080.0,,,,,,,Richard,WK 16,Lew,Perth,F - 5277 - 1080p - 21.3.24,                                                                                                    ,Material Requsition 171124,
2024-11-12,BNE2238,IMG4D-66-3012,SMESH300011704,5000.0,WK2/3,CIF,0.0,20,1000.0,21,4000.0,,,,,Richard,Delayed to Wk 20/21,Lew,Brisbane,B - 5341/5372/5373/5374 - 1000p+4000p-22.5.25,                                                                                                    ,Material Requsition 171124,
2024-12-05,BNE2242,OSH106H-6003,JOS6003G,500.0,Wk3,CIF,20.0,3/6/9,350.0,15,70.0,16,60.0,,,Ryan,wk3 - 140 / wk 6-130 / WK9-100/wk15-150,Lew,Brisbane,B - 4993/5053/5054/5115/5170 - 480p-26.2.25,                                                                                                    ,Material Requisition 231224,
2025-01-08,BNE2252,IMB5-44-5612-JMA,SMB5612101005,2400.0,WK12,CIF,2400.0,,,,,,,,,Richard,,,Brisbane,,                                                                                                    ,Pause - pending further info,
2025-01-08,BNE2253,IMB45-66-5117-JEN,SMB5118151505,2160.0,WK10,CIF,0.0,18,2160.0,,,,,,,Richard,Delayed to Wk 17,Lew,Brisbane,B- 5284/5285/5286/5287 - 2160p - 25/4/25,                                                                                                    ,,
2025-01-08,BNE2254,IMB5-44-5014-JNA,CC5014101005,1200.0,WK10,CIF,-32.0,16,1232.0,,,,,,,Richard,Delayed to Wk 16,Lew,Brisbane,B - 5233/5234 - 1032p - 21.3.25,                                                                                                    ,,
2025-01-08,TAC2256,3RM600446108G,3RM600446108G,14400.0,WK4/5,CIP Seattle,0.0,Prior,6400.0,13,4800.0,22,3200.0,,,Richard,wk 12-6400 / wk 13-4800,Lew,Tacoma,S - 5166-69 + 5184-87 +5392/93- 11200p+3200p - 27/5/25,                                                                                                    ,ASW # IMG6GA-44-2715,Jennmar O/No 566515
2025-01-15,BNE2260, IMGX4H4-44-5614 JMA Trial,GXB5614101004G,40.0,WK8,CIF,0.0,13,40.0,,,,,,,Richard,Delayed to Wk 11/12,Lew,Brisbane,B - 5192 - 40p - 21.3.25,                                                                                                    ,Sub Bundles - 20 per bundle,
2025-01-15,BNE2261, IMGX4-44-4812 JMA Trial,GXB48121010040G,40.0,WK8,CIF,40.0,,,,,,,,,Richard,Delayed to Wk 11/12,Lew,Brisbane,,                                                                                                    ,Sub Bundles - 20 per bundle,CLW 12-2
2025-01-15,BNE2262,IMGX44H-44-5012 Oaky Trial,GXB50121010040,40.0,WK8,CIF,0.0,13,40.0,,,,,,,Richard,Delayed to Wk 11/12,Lew,Brisbane,B - 5192 - 40p - 21.3.25,                                                                                                    ,Sub Bundles - 20 per bundle,
2025-01-29,ADE2265,IMB4H-44-5024,SMB4H50241010,1800.0,Wk8-9,CIF,0.0,13,1800.0,,,,,,,Richard,Delayed wk 12,Lew,Adelaide,A - 5188-90 - 1800p - 25.3.25,                                                                                                    ,,
2025-01-29,BNE2267,IMB5-44-4814-JCR,SMB4814101005C,1200.0,Wk10,CIF,0.0,17,1200.0,,,,,,,Richard,Delayed to Wk 16,Lew,Brisbane,B - 5240/5240 - 1200p - 15/4/25,                                                                                                    ,,
2025-01-29,BNE2269,IMG3H-44-2417-DQL,SMF3H24171010G,4000.0,Wk10,CIF,0.0,15,4000.0,,,,,,,Richard,Delayed to Wk 15,Lew,Brisbane,B - 5215/16 - 4000p - 8/4/25,                                                                                                    ,New MESH,O/No 362734
2025-01-29,BNE2270,IMG3H-44-2417-DQL,SMF3H24171010G,4000.0,Wk10,CIF,0.0,15,2400.0,16,1600.0,,,,,Richard,Delayed to Wk 16,Lew,Brisbane,B-5216/33/34/35 - 4000p - 18/4/25,                                                                                                    ,New MESH,O/No 362960
2025-01-29,BNE2271,IMB5-44-5616-DQL,SMB5616151005,2880.0,Wk10,CIF,0.0,15,1260.0,16,1620.0,,,,,Richard,Delayed to Wk 15/16,Lew,Brisbane,B - 5217/18/28/29/30 - 2880p - 8/4/25,                                                                                                    ,New MESH,O/No 362960
2025-01-29,BNE2272,IMB3H-44-2618-DAIR,SMF2618101003,2400.0,Wk9,CIF,0.0,13,2400.0,,,,,,,Richard,Delayed to Wk 13,Lew,Brisbane,B - 5193 - 2400p - 26/3/25,                                                                                                    ,Urgent,
2025-01-30,SEA2273,IMG5H-44-4524,CCP45241010056G,3300.0,WK16,FOB,0.0,15,3300.0,,,,,,,Richard,wk 15,Lew,Seattle,S - 5204-5209 - 3300p - 8/4/25,                                                                                                    ,O/# W50 2080327,
2025-01-30,SEA2274,IMG5H-44-4524,CCP45241010056G,3300.0,WK18,FOB,0.0,17,3300.0,,,,,,,Richard,wk 17,Lew,Seattle,S - 5246-5251 - 3300p - 21/4/25,                                                                                                    ,O/# W50 2080328,
2025-01-30,SEA2275,IMG5H-44-4524,CCP45241010056G,3300.0,WK20,FOB,0.0,19,3300.0,,,,,,,Richard,wk 19,Lew,Seattle,S-5299-5304 - 3300p-2/5/25,                                                                                                    ,O/# W50 2080329,
2025-01-30,SEA2276,IMG5H-44-4524,CCP45241010056G,3300.0,WK22,FOB,0.0,21,3300.0,,,,,,,Richard,wk 21,Lew,Seattle,S - 5348-5353 - 3300p - 20/5/25,                                                                                                    ,O/# W50 2080330,
2025-01-30,SEA2277,IMG5H-44-4524,CCP45241010056G,3300.0,WK24,FOB,0.0,23,3300.0,,,,,,,Richard,wk 23,Lew,Seattle,S - 5409-5414 - 3300p - 5/6/25,                                                                                                    ,O/# W50 2080331,
2025-01-30,SEA2278,IMG5H-44-4524,CCP45241010056G,3300.0,WK26,FOB,0.0,25,3300.0,,,,,,,Richard,wk 26,Lew,Seattle,S - 5491-5497 - 3300p- 20/6/25,                                                                                                    ,O/# W50 2080332,
2025-01-30,SEA2279,"3FL112G00072 - 72"" X 39mm FLOKS",3FL112G00072,5100.0,WK7,CIP Seattle,0.0,13,5100.0,,,,,,,Richard,TBA,Lew,Seattle,Feb Delivery,                                                                                                    ,Jennmar O/No 551958,
2025-02-03,BNE2281,OSH106H-3003,JOS3003B,400.0,WK10,CIF,0.0,13,400.0,,,,,,,Richard,Delayed to wk 13,Lew,Brisbane,B - 5193 - 400p - 26/3/25,                                                                                                    ,Black,
2025-02-03,BNE2282,OSH106H-6003,JOS6003G,500.0,WK9,CIF,-20.0,18,240.0,19,280.0,,,,,Richard,Delayed to Wk 18/19,Lew,Brisbane,B - 5284/5285/5308 - 140+280pcs - 254/25,                                                                                                    ,Black,
2025-02-07,PER2285,SCGW6.3-1000,SCW6.3X1MG,100000.0,Current stock processed ASAP ,CIF,0.0,9,40000.0,13,60000.0,,,,,Ryan,wk 9 - 40K / Delayed to Wk 13,Lew,Fremantle,F - 5102/5194/5196 - 100000p - 26.2.25,                                                                                                    ,"Need to order in Galv 6.3 - 200 bundles x 500 lengths
Packed on pallets of 5000 lengths each
10 bundles of 500 lengths on each pallet",
2025-02-20,BNE2288,IMGX44H-46-5017-JAS,GXB5018101504G,40.0,WK8,CIF,1.0,13,39.0,,,,,,,Richard,WK 10/11,Lew,Brisbane,B - 5155 - 40p - 5/3/25,                                                                                                    ,Option 6 - Retrial,
2025-02-20,BNE2289,IMB5-44-4814-JCR,SMB4814101005C,1200.0,WK14,CIF,0.0,19,1200.0,,,,,,,Richard,Delayed to wk 19,Lew,Brisbane, - 5311/5312 - 600p - 5/5/25,                                                                                                    ,,
2025-02-20,ADE2290,IMG5H-44-4524,CCP45241010056G,2200.0,WK14,CIF,0.0,16,2200.0,,,,,,,Richard,Delayed to Wk 16,Lew,Adelaide,A - 5236-39 - 2200p - 14/4/25,                                                                                                    ,,
2025-02-20,ADE2291,IMG5H-44-4024,CCP40241010056G,2400.0,WK13,CIF,0.0,15,2400.0,,,,,,,Richard,Delayed to wk 15,Lew,Adelaide,A-5210-13 - 2400p - 3/4/25,                                                                                                    ,Qty revised to 2400pcs,
2025-03-05,PER2294,R500L4.0-Coils,CW500L4,48.0,WK10,CIF,0.0,Prior,36.0,10,12.0,,,,,Richard,wk 10 - 12 / wk 11 - 12 / WK 12 -24,Lew,Fremantle,,                                                                                                    ,Super Urgent Please,
2025-03-05,PER2296,D500L7.6-Spools,D500L07.6SP,24.0,WK12,CIF,0.0,16,24.0,,,,,,,Richard,Wk 16,Lew,Fremantle,,                                                                                                    ,Material Requisition 190325,
2025-03-05,PER2297,R500L7.1-Coils,CW500L7.1,6.0,WK12,CIF,0.0,13,3.0,16,3.0,,,,,Richard,Dealyed to /WK 13-3T Wk16-3T,Lew,Fremantle,F - 5195/5227 - 6p - 25.3.25,                                                                                                    ,,
2025-03-06,BNE2298,IMB55H-46-5017-JAS,SMB5112151504,960.0,WK15,CIF,0.0,18,960.0,,,,,,,Richard,Dealyed to Wk18,Lew,Brisbane,B-5295/5296 - 960p - 30/4/25,                                                                                                    ,,
2025-03-06,BNE2299,IMB45-66-5111-JEN2,SMB5112151504,3240.0,WK11,CIF,0.0,Prior,2160.0,13,1080.0,,,,,Richard,wk 11 - 2160 / wk 12 - 1080,Lew,Brisbane,B - 5163-65+91/92 - 3240p - 25.3.25,                                                                                                    ,URGENT PLEASE,
2025-03-06,BNE2300, IMGX4H4-44-5614-JMA,GXB5614101004G,540.0,WK8,CIF,-93.0,18,633.0,,,,,,,Richard,wk 17,Lew,Brisbane,B - 5282/5283 - 633p -25/4,                                                                                                    ,Revised Packaging,
2025-03-06,BNE2301, IMGX4-44-4812-JMA,GXB48121010040G,480.0,WK8,CIF,0.0,18,480.0,,,,,,,Richard,wk 17,Lew,Brisbane,B-5282-480p - 25/4/25,                                                                                                    ,Revised Packaging,
2025-03-06,CAN2302,IMGX6GA-44-1524C15,7TRIAL,2.0,WK11/12,Airfreight,2.0,,,,,,,,,Richard,wk 19 - 1 roll,Lew,Canada,,,Shipping to be decided,
2025-03-17,PER2298,R500L8-Coils,CW500L8,24.0,WK12,CIF,0.0,16,24.0,,,,,,,Ryan,wk 16,Lew,Fremantle,,,Material Requisition 190325,
2025-03-17,PER2299,R500L6.3Coils,CW500L6.3,24.0,ASAP,CIF,0.0,21,24.0,,,,,,,Ryan,Delayed to Wk 21,Lew,Fremantle,F - 5364 - 24p - 21/5/25,,,
2025-03-18,BNE2300,GXB5012101004G,GXB5012101004G,50.0,ASAP,CIF,-6.0,18,56.0,,,,,,,Richard,wk 18,Lew,Brisbane,B-5287-56pcs- 29/4/25,,ASW Part # IMGX44H-44-5011,
2025-03-19,PER2300,R500L5.0Coils,CW500L5,48.0,Wk13,CIF,0.0,13,24.0,15,24.0,,,,,Ryan,wk 13-24T / wk 15-24T,Lew,Fremantle,F - 5197 - 24 - 26/3/25,,,
2025-03-25,,Tie-3.15mm-1.2m,TIE3.15X1.5MM,7.2,WK18,CIF,-0.2999999999999998,17,3.0,21,4.5,,,,,RIchard,wk 16/ 20,Lew,Brisbane,B - 5240/5375/5376 - 7.5T - 20/5/25,,o/no IGP51954,
2025-03-25,,Tie-3.15mm-2.4m,TIE3.15X2.4MM,16.8,WK18,CIF,-7.199999999999999,15,24.0,,,,,,,RIchard,wk 15/16,Lew,Brisbane,,,o/no IGP51954,
2025-03-25,,Tie-3.15mm-2.4m,TIE3.15X2.4MM,24.0,WK22,CIF,-7.0,17,8.0,18,4.0,20/21,19.0,,,RIchard,wk 17/18/19,Lew,Brisbane,B - 5231/5308 - 14+4p - 8/5/25,,o/no IGP51955,
2025-03-26,PER2301,R500L5.0Coils,CW500L5,24.0,ASAP,CIF,0.0,16,12.0,16,12.0,,,,,Ryan,wk 16,Lew,Fremantle,F - 5221/5222 - 48p - 10/4/25,,,
2025-03-27,Jennmar USA,Bright Wire 6GA A1064,1RM0600,168.0,WK16,FOB,-0.5,18,168.5,,,,,,,RIchard,wk 18,Lew,FOB PK,,,70 coils of 2400 Kg each,
2025-03-27,Jennmar USA,Galv Wire 6GA A1064,1RM0600G,165.6,WK18,FOB,-0.8000000000000114,18,166.4,,,,,,,RIchard,wk 18,Lew,FOB PK,,,69 coils of 2400 Kg each,
