comment,ross_order,dmw_product,ross_code,qty,same_next_day,date,week,qty_day,achieved,qty_aft,achieved_1,qty_nght,achieved_2,kg_sht,planned_totals,act_totals,sheets_per_hour,spm,c_wires
,BNE2289,IMB45-46-4814-JCR,SMB48141015045,1200.0,S,2025-04-28,18,0.0,0.0,0.0,0.0,,,24.76,0.0,0.0,67.34693877551021,55.0,49.0
,BNE2290,IMB45-46-4814-JCR,SMB48141015045,1200.0,N,2025-04-29,18,40.0,20.0,400.0,160.0,,,24.76,10.8944,4.4568,67.34693877551021,55.0,49.0
,BNE2291,IMB45-46-4814-JCR,SMB48141015045,1200.0,N,2025-04-30,18,400.0,340.0,400.0,340.0,,,25.25,20.2,17.17,80.4878048780488,55.0,51.0
,BNE2292,IMB45-46-4814-JCR,SMB48141015045,1200.0,N,2025-05-01,18,0.0,,0.0,,,,25.25,0.0,0.0,80.4878048780488,55.0,51.0
,BNE2293,IMB45-46-4814-JCR,SMB48141015045,1200.0,N,2025-05-02,18,220.0,145.0,0.0,0.0,,,25.25,5.555,3.66125,80.4878048780488,55.0,51.0
ST2002,250298,IMB5-44-5014-JNA,CC5014101005,1400.0,S,2025-05-02,18,0.0,0.0,40.0,40.0,,,25.25,1.01,1.01,80.4878048780488,55.0,51.0
ST2003,250298,IMB5-44-5014-JNA,CC5014101005,1400.0,N,2025-05-03,18,380.0,0.0,380.0,220.0,,,25.25,19.19,5.555,80.4878048780488,55.0,51.0
ST2004,250298,IMB5-44-5014-JNA,CC5014101005,1400.0,N,2025-05-04,19,380.0,250.0,380.0,320.0,,,25.25,19.19,14.3925,80.4878048780488,55.0,51.0
ST2005,250298,IMB5-44-5014-JNA,CC5014101005,1400.0,N,2025-05-05,19,380.0,375.0,190.0,205.0,,,25.25,14.3925,14.645,80.4878048780488,55.0,51.0
ST2015,,IMB5-44-4524,SMF4524101005,1000.0,N,2025-05-06,19,0.0,0.0,200.0,160.0,,,30.55,6.11,4.888,80.4878048780488,55.0,41.0
ST2016,,IMB5-44-4524,SMF4524101005,1000.0,N,2025-05-07,19,400.0,420.0,400.0,430.0,,,30.55,24.44,25.9675,80.4878048780488,55.0,41.0
