Sales Qty,,,,,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,MTD CY-1,MTD CY-1,MTD CY-1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,MTD-1,MTD-1,MTD-1,MTD-3,MTD-3,MTD-3,MTD-2,MTD-2,MTD-2,MTD-2,MTD,MTD,MTD,Open
,,,,,12,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,W49,W50,W51,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W39,W4,W40,W43,W44,W48,W5,W52,W53,W6,W7,W8,W9,W45,W46,W47,W36,W37,W38,W40,W41,W42,W43,W49,W50,W51,Outstanding SO Qty
HROCK EAST,BBF INDUSTRIAL                ,BBF INDUSTRIAL (JA572),JL5H180026FSP  ,J-L.OK 5* DUAL TWIN EA 900X26MM FAST/SLOW P/CHUTE RESIN - 10 CAPSULES/BOX,,,,90,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,BBF INDUSTRIAL                ,BBF INDUSTRIAL (JA572),JTB2018SHG     ,J-TECH BOLT 20MMX1.8M SHEARED - GAL 100 UNITS PER PACK,,,,75,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,BBF INDUSTRIAL                ,BBF INDUSTRIAL (JA572),M20COUPLERG    ,J-TECH COUPLER 20MM - GALVANISED 50 UNITS PER PACK,,,,40,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,BBF INDUSTRIAL                ,BBF INDUSTRIAL (JA572),M20NUT125DHANGG,J-TECH NUT HANGER 20MM M20 X 1.25D - GAL 50 UNITS PER PACK,,,,75,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,BHP GROUP OPERATIONS LIMITED  ,BHP OLYMPIC DAM CORP P/L (JA257),SMESH300011704 ,SHOTCRETE MESH 3.00MX1.17M 4MM WIRE - GAL IMG4D-66-3012,,,600,1800,2400,,,2400,,,2400,,,,,,,,1800,,,,,2400,,,,,,,,,,,,,,,,2400,,,,,,,,,,2400,,,,,,,,600,,,,,,,,,,,,,,2400
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),10TCABLEKIT152 ,10T CABLE TENSIONING KIT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),BW152MM        ,BARREL & WEDGE TO SUIT 15.2MM CABLE CA0147,,,,,,140,,380,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,120,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HROCK EAST,BROKEN HILL OPERATIONS PTY LTD,BROKEN HILL OPERATIONS P/L (JA047),CCP45121010056G,MESH MINE 4.5MX1.2M 100X100 APT 5.6MM WIRE - GAL ,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,
