comment,ross_order,dmw_product,ross_code,qty,same_next_day,date,week,qty_day_m1,achvd_day_m1,achvd_aft_m1,qty_night_m1,achvd_night_m1,qty_day_m2,achvd_day_m2,achvd_aft_m2,qty_night_m2,achvd_night_m2,qty_day_m3,achvd_day_m3,achvd_aft_m3,qty_night_m3,achvd_night_m3,qty_day_m4,achvd_day_m4,qty_aft_m4,achvd_aft_m4,qty_night_m4,achvd_night_m4,kg_pce,plan_totals_kg,act_totals_kg,total_pcs_m1,total_pcs_m2,total_pcs_m3,total_pcs_m4,pcs_hr
47MM,WIP,47mm X  2400FLOK Galv,JFL4724G,22000.0,N,2025-06-04,23,,150.0,,,,,150.0,,,,,,,,,,,,,,,6.5,0.0,1950.0,150.0,150.0,0.0,0.0,60.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-05,23,,450.0,,,,,,,,,,,,,,,,,,,,7.5,0.0,3375.0,450.0,0.0,0.0,0.0,61.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-06,23,,,,,,,,,,,,,,,,,,,,,,8.5,0.0,0.0,0.0,0.0,0.0,0.0,62.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-07,23,,,,,,,,,,,,,,,,,,,,,,9.5,0.0,0.0,0.0,0.0,0.0,0.0,63.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-08,24,,,,,,,,,,,,,,,,,,,,,,10.5,0.0,0.0,0.0,0.0,0.0,0.0,64.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-09,24,,300.0,,,,,150.0,,,,,,,,,,150.0,,,,,11.5,0.0,6900.0,300.0,150.0,0.0,150.0,65.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-10,24,,150.0,,,,,150.0,,,,,,,,,,300.0,,,,,12.5,0.0,7500.0,150.0,150.0,0.0,300.0,66.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-11,24,,450.0,,,,,450.0,,,,,,,,,,450.0,,,,,13.5,0.0,18225.0,450.0,450.0,0.0,450.0,67.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-12,24,,600.0,,,,,,,,,,,,,,,,,,,,14.5,0.0,8700.0,600.0,0.0,0.0,0.0,68.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-13,24,,450.0,,,,,,,,,,,,,,,,,,,,15.5,0.0,6975.0,450.0,0.0,0.0,0.0,69.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-14,24,,300.0,,,,,150.0,,,,,,,,,,,,,,,16.5,0.0,7425.0,300.0,150.0,0.0,0.0,70.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-15,25,,,,,,,,,,,,,,,,,,,,,,17.5,0.0,0.0,0.0,0.0,0.0,0.0,71.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-16,25,,600.0,,,,,300.0,,,,,,,,,,,,,,,18.5,0.0,16650.0,600.0,300.0,0.0,0.0,72.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-17,25,,450.0,,,,,300.0,,,,,,,,,,,,,,,19.5,0.0,14625.0,450.0,300.0,0.0,0.0,73.0
,WIP,47mm X  2400FLOK Galv,JFL4724G,,N,2025-06-18,25,,450.0,,,,,300.0,,,,,,,,,,,,,,,20.5,0.0,15375.0,450.0,300.0,0.0,0.0,74.0
