product,qtyordered,qtycompl,datecompleted,ross_product_code
IMG5H6H-44-4024-SSP,295.0,295.0,2022-08-24,
IMG5H-44-4524-SM C1,1000.0,1003.0,2022-08-31,
IMG5H6H-44-4024-SSP,50.0,56.0,2022-09-02,
IMG5H6H-44-4024-SSP,493.0,493.0,2022-09-05,
BDTOP-8723-280 C2,160.0,160.0,2022-09-09,
BDBOT-8723-280 C2,160.0,160.0,2022-09-14,
BDBOT-8724-230 C2,240.0,240.0,2022-10-08,
BDTOP-8724-230 C2,240.0,240.0,2022-10-11,
IMG4-22-3024-OC,2000.0,1821.0,2022-10-13,
BDTOP-8723-280 C2,120.0,125.0,2022-10-13,
BDBOT-8723-280 C2,70.0,70.0,2022-10-17,
IMG5H-44-4524-SM-OLD,500.0,453.0,2022-10-19,
IMG5H-44-4524-SM,1450.0,1453.0,2022-10-24,
IMG5H-44-4524-SM-OLD,125.0,125.0,2022-10-24,
IMG5H-44-4524-SM-OLD,500.0,511.0,2022-10-27,
BDBOT-8724-230 C2,240.0,251.0,2022-11-01,
BDTOP-8724-230 C2,240.0,240.0,2022-11-04,
BDBOT-9423-390 C2,15.0,16.0,2022-11-07,
BDTOP-9423-390 C2,15.0,15.0,2022-11-07,
BDBOT-8923-340 C2,60.0,60.0,2022-11-09,
BDTOP-8923-340 C2,60.0,60.0,2022-11-09,
BDBOT-8724-230 C2,240.0,240.0,2022-11-15,
BDTOP-8724-230 C2,270.0,270.0,2022-11-17,
IMG5H6H-44-4024-SSP,450.0,449.0,2022-11-21,
IMG5H6H-44-4024-SSP,500.0,529.0,2022-11-25,
IMZG4-22-3618,200.0,202.0,2022-11-30,
IMG4-23-3024-OC,100.0,100.0,2022-12-09,
IMG4-22-3024-OC,1450.0,1450.0,2022-12-12,
IMG5-22-3024,200.0,166.0,2022-12-13,
IMG5H-44-4524-SM,450.0,450.0,2022-12-16,
IMG5H-44-4524-SM,1002.0,1025.0,2023-01-04,P
IMZG4-41-3128,5.0,14.0,2023-01-05,P
IMZG4-41-2828,40.0,28.0,2023-01-06,P
IMZG4-41-3130,10.0,14.0,2023-01-10,P
BDBOT-8723-280 C2,160.0,160.0,2023-01-16,P
BDTOP-8723-280 C2,160.0,160.0,2023-01-18,P
BDTOP-8724-230 C2,240.0,240.0,2023-01-23,P
BDBOT-8724-230 C2,240.0,239.0,2023-01-31,P
IMG5H6H-44-4024-SSP,1300.0,1316.0,2023-02-08,P
IMG5H-44-4524-SM,450.0,451.0,2023-02-13,P
IMG5H-44-4524-SM-OLD,450.0,449.0,2023-02-15,P
BDBOT-8724-230 C2,320.0,320.0,2023-02-22,P
BDTOP-8724-230 C2,240.0,240.0,2023-02-27,P
IMG5H6H-44-4024-SSP,950.0,1067.0,2023-03-08,P
BDTOP-8723-280 C2,160.0,140.0,2023-03-10,P
BDBOT-8723-280 C2,160.0,160.0,2023-03-14,P
IMG5H-44-4524-SM,450.0,300.0,2023-03-20,P
IMG5H-44-4524-SM,450.0,450.0,2023-03-22,P
IMG5H-44-4524-SM,450.0,450.0,2023-03-23,P
IMG5H-44-4524-SM-OLD,450.0,450.0,2023-03-29,P
IMG5H-44-4524-SM-OLD,450.0,453.0,2023-04-03,P
BDTOP-8724-230 C2,80.0,80.0,2023-04-04,P
BDBOT-8724-230 C2,320.0,320.0,2023-04-12,P
