Company Code,Warehouse,Warehouse Desc,Product Group Desc,Part Code,Part Description,Minimum Level,Maximum Level,IC Status Code,UOM,IC Quantity,IC Qty Picked,IC Qty In Despatch,IC Qty Reserved,IC Qty Awaiting Confirm Out,IC Unconfirmed Qty,IC Qty Available
3,M1,M1 - ASW Perth,Friction-Lok,FBRING47,Friction Lok Ring. 47 DiaDrg FL0005 Rev 2,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Friction-Lok,JFL4724G,FRICTION LOK BOLT 47MMX2400MM - GAL150 BOLTS PER PACK,0,0,QOH,EA,1800,0,0,0,0,0,1800
3,M1,M1 - ASW Perth,Friction-Lok,JFL4724G,FRICTION LOK BOLT 47MMX2400MM - GAL150 BOLTS PER PACK,0,0,QR,EA,9900,0,0,0,0,0,9900
3,M1,M1 - ASW Perth,Jennchem Seals,SMESH300011704,SHOTCRETE MESH 3.00MX1.17M 4MM WIRE - GALIMG4D-66-3012,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,BDBOT9423.390,BDBOT-9423/390-9384x2384xN12BDBOT-9423/390,0,0,QOH,EA,40,0,0,0,0,0,40
3,M1,M1 - ASW Perth,Mesh,BDTOP9423.390,BDTOP-9423/390-9394x2394xN12BDTOP-9423/390,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,CC2015101004G,Mesh Rib 2M x 1.5M 100 x 100 Apt 4.0mm wire GalIMG4-44-2015-JNA,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,CC402410105,MESH MINE 4.0MX2.4M 100X100 APT 5.0MM WIREIMB5-44-4024,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,CC5014101005,MESH ROOF 5.00MX1.35M 100X100 APT 5.0MM WIREIMB5-44-5014-JNA,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,CCP24241010056G,Mine Mesh 2400x2400mm100x100 ap 5.6mm gal,0,0,QOH,EA,400,0,0,0,0,0,400
3,M1,M1 - ASW Perth,Mesh,CCP300310108G,MESH STRAP 3.0MX0.3M 100X100 APT 8.0MM WIRE- GALIMG8-44-3003_MS905778,0,0,QOH,EA,19,0,0,0,0,0,19
3,M1,M1 - ASW Perth,Mesh,CCP35241010056G,MESH MINE 3.5MX2.4M 100X100 APT 5.6MM WIRE - GALIMG5H-44-3524,0,0,QOH,EA,750,0,700,0,0,700,50
3,M1,M1 - ASW Perth,Mesh,CCP40241010056G,MESH MINE 4.0MX2.4M 100X100 APT 5.6MM WIRE - GALIMG5H-44-4024,0,0,QOH,EA,600,0,0,0,0,0,600
3,M1,M1 - ASW Perth,Mesh,CCP42241010056G,MESH MINE 4.2MX2.4M 100X100 APT 5.6MM WIRE - GALIMG5H-44-4224,0,0,QOH,EA,3696,0,0,0,0,0,3696
3,M1,M1 - ASW Perth,Mesh,CCP45241010056G,MESH MINE 4.5MX2.4M 100X100 APIMG5H-44-4524_JEN,0,0,QOH,EA,2959,0,1400,0,0,1400,1559
3,M1,M1 - ASW Perth,Mesh,CCP4824101005,Mine Mesh 4.8 M x 2.4M 100 x 100 Apt 5mm Wire -BlkIMB5-44-4824,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,CCP48241010056G,Mine Mesh 4800X2400mm 100x100mm Apt 5.6mm wire GalvIMG5H-44-4824,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,CCP50241010056G,Mine Mesh 5000mm longIMG5H-44-5024,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,JOS4003B,Ausro Strap 4.0 x 0.3OSH106H-4003,0,0,QOH,EA,516,0,300,0,0,300,216
3,M1,M1 - ASW Perth,Mesh,JOS4003G,Ausro Strap W 4000*300*10OSH106H-4003G,0,0,QOH,EA,82,0,0,0,0,0,82
3,M1,M1 - ASW Perth,Mesh,JOS5803B,Ausro Strap 5.8 x 0.3OSH106H-5803,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,JOS6000B,DNU - SEE JOS6003B ,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,JOS6003B,Ausro STRAP W 300*6000*10MM BLACKOSH106H-6003,0,0,QOH,EA,540,0,400,0,0,400,140
3,M1,M1 - ASW Perth,Mesh,JOS6003G,AUSRO STRAP 6.0MX0.3M 10MM WIRE GALOSH106H-6003G,0,0,QOH,EA,144,0,0,0,0,0,144
3,M1,M1 - ASW Perth,Mesh,MS30241010056GD,"MESH SEISMIC 3.0MX2.4M, 100X100MM APT 5.6MM GALIMG5H-44-3024-JEN-SSP DOUBLE TRAM",0,0,QOH,EA,665,0,0,0,0,0,665
3,M1,M1 - ASW Perth,Mesh,MS45241010056G,"MESH SEISMIC 4.5MX2.4M, 100X100MM APT 5.6MM GALIMG5H-44-4524-SM",0,0,QOH,EA,67,0,0,0,0,0,67
3,M1,M1 - ASW Perth,Mesh,MS45241010056G2,"MESH SEISMIC 4.5X2.4M 5.6MM, REINFORCE SECOND APERTURE GALVIMG5H-44-4524-SM-OLD",0,0,QOH,EA,69,0,0,0,0,0,69
3,M1,M1 - ASW Perth,Mesh,MS50241010056G,"MESH SEISMIC 5.0MX2.4M, 100X100MM APT 5.6MM GALIMG5H-44-5024-JEN-SM",0,0,QOH,EA,567,0,0,0,0,0,567
3,M1,M1 - ASW Perth,Mesh,SMB4814101005C,MESH ROOF 4.8MX1.42M 100X100 APT 5.0MM WIREIMB5-44-4814-JCR,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMB5016151005S,MESH ROOF 5.00MX1.55M 100X100 APT 5.0MM WIRE SLGIMB5-46-5016-JNA,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMB5018101005,MESH ROOF 5.00MX1.75M 100X100 APT 5.0MM WIREIMB55H-46-5017-JAS,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMB5018101005G,MESH ROOF 5.00MX1.75M 100X100 APT 5.0MM WIRE-GALIMG55H-46-5017-JAS,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMB5113515105S,MESH ROOF 5.10MX1.35M 150X100 APT 5.0MM WIRE SLGIMB5-64-5113-JMOL,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMB5414101005,DNU- see SMB5414101005C ,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMB5414101005C,MESH ROOF 5.40 M X 1.40M 100X100 APT 5.0MM WIREIMB5-44-5414-JEN,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMB5612101005,MESH ROOF 5.60MX1.2M 100X100 APT 5.0MM WIREIMB5-44-5612-JMA,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMF1614101004,Rib Mesh 1.6 x 1.4M 100x100 Apt 4mm WireIMB4-44-1614-MCO,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMF2214101004,MESH RIB 2.20MX1.40M 100X100 APT 4.0MM WIREIMB4-44-2214-JMOL,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMF24151010034G,MESH RIB 2.40MX1.50M 100X100 APT 3.0/4.0MM WIRE -GIMG34-44-2415-JAS,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMF36121010056G,MESH MINE  3.60MX1.20M 100X100 APT 5.6MM WIRE - GALIMG5H-44-3612,250,500,QOH,EA,250,0,0,0,0,0,250
3,M1,M1 - ASW Perth,Mesh,SMF45171010056G,MESH MINE 4.5MX1.7M 100X100 APT 5.6MM WIRE - GALIMG5H-44-4517_JEN,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Mesh,SMF4524101005,MESH Mine 4.5M X 2.4M 100X100 APT 5.0MM WIRE ,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",COILGW4,4mm Galv Wire In CoilsCOILGW4,0,0,QOH,TONN,2.49,0,0,0,0,0,2.49
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",COILGW4VHT,P COILGW4 Very High TensileCOILGW4VHT,0,0,QOH,TONN,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",COILGW5,Galve Wire 5mmCOILGW5,0,0,QOH,TONN,8,0,0,0,0,0,8
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",COILGW5.6,5.55mm Galv Wire In CoilsCOILGW5.6,1782,2673,CONFIN,TONN,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",COILGW5.6,5.55mm Galv Wire In CoilsCOILGW5.6,1782,2673,QOH,TONN,1196.0654,0,0,0,0,0,1196.0654
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",COILGW6.3,6.3mm Galv Wire In CoilsCOILGW6.3,4,6,QOH,TONN,17.9407,0,0,0,0,0,17.9407
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",COILZG2,2.0mm Galfan WireCOILZG2.0,0,0,QOH,TONN,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",COILZG4,4.0mm Galfan Wire in CoilsCOILZG4,0,0,QOH,TONN,12,0,0,0,0,0,12
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",CW500L10MM,10mm Bright Wire In CoilsR500L10.0-Coils,12.0555,24.111,QOH,TONN,27.995,0,0,0,0,0,27.995
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",CW500L3.97HD,Hard Drawn Wire 3.97mm blackR500L3.97-Coils,0,0,QOH,TONN,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",CW500L4,4.0mm Bright Wire In CoilsR500L4.0-Coils,38,57,QOH,TONN,71.9787,0,12.04,0,0,12.04,59.9387
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",CW500L5,5.0mm Bright Wire In CoilsR500L5.0-Coils,168,251,QOH,TONN,53.984,0,24.139,0,0,24.139,29.845
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",CW500L5.6,5.6mm Bright Wire In CoilsR500L5.6-Coils,102,152,QOH,TONN,41.1271,0,0,0,0,0,41.1271
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",CW500L6,6.0mm Bright Wire in CoilsR500L6.0-Coils,19,29,QOH,TONN,30.6007,0,0,0,0,0,30.6007
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",CW500L6.3,6.3mm Bright Wire In CoilsR500L6.3-Coils,34,51,QOH,TONN,17.585,0,0,0,0,0,17.585
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",CW500L7.1,7.10mm Bright Wire In CoilsR500L7.1-Coils,7,13,QOH,TONN,8.966,0,0,0,0,0,8.966
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",CW500L8,8.0mm Bright Wire In coilsR500L8.0-Coils,19,29,QOH,TONN,25.931,0,6.009,0,0,6.009,19.922
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",D500L06.0SP,6.0mm Ribbed Wire in SpoolsD500L6.0-Spools,23,35,QOH,TONN,49.9703,0,0,0,0,0,49.9703
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",D500L06.3SP,6.3mm Ribbed wire in SpoolsD500L6.3-Spools,0,0,QOH,TONN,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",D500L07.6SP,7.60mm Ribbed Wire in SpoolsD500L7.6-Spools,40,60,QOH,TONN,16.3599,0,0,0,0,0,16.3599
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",D500L08.6SP,8.60mm Ribbed Wire in SpoolsD500L8.6-Spools,40,60,QOH,TONN,32.095,0,0,0,0,0,32.095
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",D500L09.5SP,9.50mm Ribbed Wire in SpoolsD500L9.5-Spools,26,38,QOH,TONN,3.4962,0,0,0,0,0,3.4962
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",D500L12.0SP,12mm Rib Wire in SpoolsD500L12.0-Spools,0,0,QOH,TONN,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCBR25,25mm x 4mm Bar Chairs SuitFCBR25,0,0,QOH,EA,700,0,0,0,0,0,700
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCBR40,40mm x 4mm Bar Chairs SuitFCBR40,0,0,QOH,EA,500,0,0,0,0,0,500
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCBR50,50mm x 4mm Bar Chairs SuitFCBR50,0,0,QOH,EA,500,0,0,0,0,0,500
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCBR75,75mm x 4mm Bar Chairs SuitFCBR75,0,0,QOH,EA,2500,0,0,0,0,0,2500
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCMR20,20mm Fast Clip Mesh ChairsFCMR20,0,0,QOH,EA,1200,0,0,0,0,0,1200
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCMR25,25mm Fast Clip Mesh ChairsFCMR25,0,0,QOH,EA,2700,0,0,0,0,0,2700
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCMR40,40mm Fast Clip Mesh ChairsFCMR40,0,0,QOH,EA,2300,0,0,0,0,0,2300
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCMR50,50mm Fast Clip Mesh ChairsFCMR50,0,0,QOH,EA,3200,0,0,0,0,0,3200
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCMR60,60mm Fast Clip Mesh ChairsFCMR60,0,0,QOH,EA,2400,0,0,0,0,0,2400
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCMR65,65mm Fast Clip Mesh ChairsFCMR65,0,0,QOH,EA,3800,0,0,0,0,0,3800
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",FCMR75,75mm Fast Clip Mesh ChairsFCMR75,0,0,QOH,EA,1100,0,0,0,0,0,1100
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",TIE1.4MM,1.2Kg Rolls for Belt PacksTie-1.4mm,0,0,QOH,EA,320,0,0,0,0,0,320
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",TIE3.15X1.2MM,Tie wire - 3.15mm -1.2m LengthTie-3.15mm-1.2m,52,79,QOH,TONN,58.5,0,0,0,0,0,58.5
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",TIE3.15X2.3MM,Tie Wire 3.15mmx2.3m LenghtTie-3.15mm-2.3m,21,43,QOH,TONN,9.25,0,0,0,0,0,9.25
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",TIE3.15X2.4MM,Tie Wire 3.15mmx2.4m LengthTie-3.15mm-2.4m,0,0,QOH,TONN,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,"Mesh Components  Coil,Rod,Wire",TIE4.0X1000KG,4.0MM Black Tie Wire  1000 KgTWB4-1000KG,5,8,QOH,TONN,2.02,0,0,0,0,0,2.02
3,M1,M1 - ASW Perth,Smooth Rod Raw Materials,6MBW6,6mm Wire 6m long (750 pcs)6MBW6,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Smooth Rod Raw Materials,6MBW8,8mm Wire 6m long (425 pcs)6MBW8,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Smooth Rod Raw Materials,D500L6X1M,S&C Rib Wire 6.0x1000mm - 1 Piece ,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Smooth Rod Raw Materials,D500N12X2M,S&C Rib Wire 12.0x2000mm - 1 Piece ,0,0,QOH,EA,0,0,0,0,0,0,0
3,M1,M1 - ASW Perth,Smooth Rod Raw Materials,SCBW10X6M,S&C Brt Wire 10x6000mm 500kgsSCBW10-6000-500kgs,0,0,QOH,EA,0,0,0,0,0,0,0
