shipping,container,seal,vessel,voyage,shipp_instr_date,load_wk,sailing_date,ship_wk,col_20ft_40ft,supplier,destination,shipping_terms,order,part,ross_part_code,qty,kg_pce,total_kg,container_weight,status,ship_docs_date,closing_date
4944.0,FDCU0115150,,,,2025-01-03,1.0,2025-01-02,1,40,DMW,Adelaide,,,IMB4H-44-5024,,600.0,30.93,18558.0,,Shipped,2025-01-03,2024-01-06
4944.0,FDCU0115150,,,,2025-01-03,1.0,2025-01-02,1,40,DMW,Adelaide,,,Glut 90x90x300,,100.0,2.37,237.0,,Shipped,2025-01-03,2024-01-06
4945.0,FCIU7518096,,,,2025-01-03,1.0,2025-01-04,1,40,DMW,Adelaide,,,IMB4H-44-5024,,600.0,30.93,18558.0,,Shipped,2025-01-03,2024-01-06
4945.0,FCIU7518096,,,,2025-01-03,1.0,2025-01-04,1,40,DMW,Adelaide,,,Glut 90x90x300,,100.0,2.37,237.0,,Shipped,2025-01-03,2024-01-06
4946.0,TIIU5929488,,,,2025-01-03,1.0,2025-01-04,1,40,DMW,Adelaide,,,IMB4H-44-5024,,600.0,30.93,18558.0,,Shipped,2025-01-03,2024-01-06
4946.0,TIIU5929488,,,,2025-01-03,1.0,2025-01-04,1,40,DMW,Adelaide,,,Glut 90x90x300,,100.0,2.37,237.0,,Shipped,2025-01-03,2024-01-06
4947.0,CSLU1651859,,,,2025-01-03,1.0,2024-12-30,53,20,DMW,Fremantle,,,COILGW 5.6 SPOOLER ,,12.0,2000.0,24000.0,,Shipped,2025-01-03,2024-01-06
4948.0,TLLU2903183,,,,2025-01-03,1.0,2024-12-30,53,20,DMW,Fremantle,,,COILGW 5.6 SPOOLER ,,12.0,2000.0,24000.0,,Shipped,2025-01-03,2024-01-06
4949.0,OOLU0504610,,,,2025-01-03,1.0,2024-12-30,53,20,DMW,Fremantle,,,COILGW 5.6 SPOOLER ,,12.0,2000.0,24000.0,,Shipped,2025-01-03,2024-01-06
4950.0,CSNU1501218,,,,2025-01-03,1.0,2024-12-30,53,20,15503,Fremantle,,,COILGW 5.6 SPOOLER ,,12.0,2000.0,24000.0,,Shipped,2025-01-03,2024-01-06
4951.0,COSCO ADEN,,,,2025-01-03,1.0,2024-12-31,133S,20,DMW,Fremantle,,,COILGW 5.6 SPOOLER ,,12.0,2000.0,24000.0,,Shipped,2025-01-03,2024-01-06
4952.0,TIIU2185762,,,,2025-01-03,1.0,2025-01-02,1,20,DMW,Fremantle,,,R500L5.6-Coils,,24.0,1000.0,24000.0,,Shipped,2025-01-03,2024-01-06
4953.0,Brisbane,,,,2025-01-03,1.0,2025-01-03,OOLU9669289,40,DMW,Brisbane,,,IMB45-66-5117-JEN,,540.0,19.31,10427.4,,Shipped,2025-01-03,2024-01-05
