product,qtyordered,qtycompleted,datecompleted,ross_product_code
IMG5H-44-3524,550.0,550,2023-01-31,
IMG5H-44-4524,550.0,380,2023-02-21,
IMG5H-44-4524,550.0,325,2023-02-28,
IMG5H-44-4024,600.0,594,2023-03-08,
IMG5H-44-4024,550.0,550,2023-03-10,
IMG5H-44-4024,600.0,500,2023-03-14,
IMG5H-44-4524,700.0,696,2023-03-20,
IMG5H-44-4524,700.0,705,2023-03-23,
IMG5H-44-4024,300.0,300,2023-03-27,
IMG5H-44-4024,600.0,600,2023-03-29,
IMG5H-44-4524,1650.0,1655,2023-04-05,
IMG5H-44-4524,1100.0,1104,2023-04-17,
IMG5H-44-4524,1100.0,1120,2023-04-26,
IMG5H-44-4524,1100.0,1100,2023-04-28,
IMG5H-44-4224,500.0,500,2023-05-02,
IMG5H-44-4524,1100.0,1102,2023-05-03,
IMG5H-44-4524,1100.0,1102,2023-05-04,
IMG5H-44-3624_Unflip,450.0,450,2023-05-05,
IMG5H-44-3624_Unflip,450.0,450,2023-05-06,
IMG5H-44-3624_Unflip,150.0,150,2023-05-08,
IMG5H-44-4524,1100.0,1001,2023-05-09,
IMG5H-44-3624,600.0,979,2023-05-15,
IMG5H-44-4224,500.0,500,2023-05-15,
IMG5H-44-4224,500.0,500,2023-05-16,
IMG5H-44-4224,500.0,500,2023-05-17,
IMG5H-44-3524,300.0,300,2023-05-18,
IMG5H-44-3524,300.0,300,2023-05-18,
IMG5H-44-5024,400.0,400,2023-05-19,
IMG5H-44-5024,400.0,400,2023-05-19,
IMG5H-44-4524,500.0,500,2023-05-22,
IMG5H-44-4524,1.0,1,2023-05-22,
IMG5H-44-4524,1100.0,1000,2023-05-25,
IMG5H-44-4524,1100.0,1100,2023-05-31,
IMG5H-44-4524,50.0,50,2023-06-01,
IMG5H-44-3624_Unflip,550.0,501,2023-06-06,
IMG5H-44-3624,600.0,600,2023-06-07,
IMG5H-44-4024,600.0,601,2023-06-08,
IMG5H-44-4524,500.0,500,2023-06-09,
IMG5H-44-4524,450.0,450,2023-06-12,
IMG5H-44-4524,450.0,450,2023-06-13,
IMG5H-44-5024,400.0,400,2023-06-14,
IMG5H-44-3024,700.0,700,2023-06-15,
IMG5H-44-4524,450.0,450,2023-06-16,
IMG5H-44-4524,450.0,452,2023-06-19,
IMG5H-44-4524,500.0,500,2023-06-20,
IMG5H-44-5024,400.0,400,2023-06-21,
IMG5H-44-5024,225.0,225,2023-06-22,
IMG5H-44-4024,550.0,550,2023-06-23,
IMG5H-44-4524,500.0,500,2023-06-26,
IMG5H-44-4524,500.0,500,2023-06-27,
IMG5H-44-4024,550.0,550,2023-06-28,
IMG5H-44-4524,500.0,500,2023-06-28,
IMG5H-44-4024,550.0,550,2023-06-28,
IMG5H-44-4024,550.0,550,2023-07-03,
IMG5H-44-5024,175.0,175,2023-07-03,
IMG5H-44-3624_Unflip,550.0,551,2023-07-04,
IMG5H-44-3624_Unflip,550.0,450,2023-07-05,
IMG5H-44-4524,500.0,500,2023-07-06,
IMG5H-44-4524,500.0,500,2023-07-07,
IMG5H-44-4024,600.0,591,2023-07-10,
IMG5H-44-4024,600.0,600,2023-07-11,
IMG5H-44-4024,550.0,550,2023-07-12,
IMG5H-44-5024,400.0,400,2023-07-12,
IMG5H-44-3024,600.0,600,2023-07-13,
IMG5H-44-4524,500.0,650,2023-07-18,
IMG5H-44-4524,1500.0,1502,2023-07-18,
IMG5H-44-5024,400.0,400,2023-07-19,
IMG5H-44-3624,600.0,604,2023-07-19,
IMG5H-44-4224,600.0,600,2023-07-20,
IMG5H-44-4524,500.0,501,2023-07-21,
IMG5H-44-4524,500.0,500,2023-07-24,
IMG5H-44-4524,500.0,500,2023-07-25,
IMG5H-44-4524,500.0,501,2023-07-25,
IMG5H-44-5024,400.0,400,2023-07-26,
IMG5H-44-4024,300.0,300,2023-07-26,
IMG5H-44-3624_Unflip,450.0,450,2023-07-27,
IMG5H-44-3624_Unflip,450.0,452,2023-07-27,
IMG5H-44-3624_Unflip,325.0,325,2023-07-27,
IMG5H-44-3624_Unflip,450.0,450,2023-07-31,
IMG5H-44-4224,500.0,525,2023-08-01,
IMG5H-44-4224,500.0,500,2023-08-02,
IMG5H-44-4224,125.0,129,2023-08-02,
IMG5H-44-3524,200.0,200,2023-08-03,
IMG5H-44-3524,350.0,350,2023-08-07,
IMG5H-44-4524,250.0,250,2023-08-07,
IMG5H-44-4524,500.0,500,2023-08-08,
IMG5H-44-4524,500.0,500,2023-08-09,
IMG5H-44-4524,500.0,500,2023-08-09,
IMG5H-44-5024,400.0,400,2023-08-10,
IMG5H-44-3524,200.0,200,2023-08-10,
IMG5H-44-4524,500.0,500,2023-08-14,
IMG5H-44-4524,500.0,500,2023-08-15,
IMG5H-44-4524,500.0,500,2023-08-15,
IMG5H-44-4524,500.0,500,2023-08-16,
IMG5H-44-3624,900.0,900,2023-08-17,
IMG5H-44-3524,525.0,525,2023-08-17,
IMG5H-44-4524,1000.0,1000,2023-08-22,
IMG5H-44-3624_Unflip,500.0,500,2023-08-23,
IMG5H-44-4024,250.0,250,2023-08-23,
IMG5H-44-4518,650.0,650,2023-08-28,
IMG5H-44-4517,500.0,500,2023-08-29,
IMG5H-44-5024,800.0,800,2023-08-30,
IMG5H-44-4024,1200.0,1200,2023-08-31,
IMG5H-44-3624_Unflip,875.0,868,2023-09-04,
IMG5H-44-4524,3000.0,3002,2023-09-07,
IMG5H-44-4024,1200.0,1197,2023-09-12,
IMG5H-44-4224,1000.0,1000,2023-09-13,
IMG5H-44-3024,700.0,700,2023-09-14,
IMG5H-44-5024,800.0,800,2023-09-19,
IMG5H-44-4524,1100.0,1104,2023-09-21,
IMG5H-44-4524,1100.0,1348,2023-09-27,
IMG5H-44-3624,150.0,150,2023-09-29,
IMG5H-44-4524,3000.0,3081,2023-10-03,
IMG5H-44-4524,2000.0,1669,2023-10-05,
IMG5H-44-4224,650.0,650,2023-10-09,
IMG5H-44-5024,1200.0,1200,2023-10-10,
IMG5H-44-3624,800.0,850,2023-10-11,
IMG5H-44-3624_Unflip,800.0,800,2023-10-11,
IMG5H-44-3524,250.0,250,2023-10-12,
IMG5H-44-3524,500.0,550,2023-10-16,
IMG5H-44-4524,1500.0,1553,2023-10-20,
IMG5H-44-4024,300.0,300,2023-10-20,
IMG5H-44-4024,2400.0,2400,2023-10-26,
IMG5H-44-3024,750.0,750,2023-10-31,
IMG5H-44-4024,1200.0,1225,2023-11-01,
IMG5H-44-4524,2500.0,2599,2023-11-02,
IMG5H-44-3624_Unflip,100.0,325,2023-11-02,
IMG5H-44-5024,1400.0,1400,2023-11-07,
IMG5H-44-4524,1000.0,1000,2023-11-09,
IMG5H-44-4524,1500.0,1500,2023-11-13,
IMG5H-44-4524,1200.0,1200,2023-11-16,
IMG5H-44-4024,1450.0,1451,2023-11-21,
IMG5H-44-4224,550.0,550,2023-11-27,
IMG5H-44-3024,1100.0,1100,2023-11-28,
IMG5H-44-5024,400.0,400,2023-11-30,
IMG5H-44-4824,1000.0,1000,2023-12-01,
IMG5H-44-3524,650.0,650,2023-12-04,
IMG5H-44-4524,3000.0,3037,2023-12-05,
IMG5H-44-4024,1150.0,1150,2023-12-12,
IMG5H-44-5024,400.0,400,2023-12-14,
IMG5H-44-4524,1600.0,1600,2023-12-18,
IMG5H-44-4524,1600.0,1600,2023-12-18,
IMG5H-44-5024,400.0,225,2023-12-20,
IMG5H-44-3624_Unflip,300.0,300,2023-12-20,
IMG5H-44-5024,400.0,225,2023-12-20,
IMG5H-44-4524,2000.0,2000,2024-01-04,
IMG5H-44-4024,2000.0,950,2024-01-09,
IMG5H-44-5024,400.0,450,2024-01-09,
IMG5H-44-4224,600.0,600,2024-01-10,
IMG5H-44-5024,350.0,350,2024-01-11,
IMG5H-44-4524,1100.0,1083,2024-01-16,
IMG5H-44-4524,500.0,1000,2024-01-17,
IMG5H-44-4524,500.0,500,2024-01-17,
IMG5H-44-5024,800.0,800,2024-01-18,
IMG5H-44-4024,800.0,800,2024-01-23,
IMG5H-44-4224,500.0,500,2024-01-23,
IMG5H-44-3624_Unflip,850.0,850,2024-01-24,
IMG5H-44-4524,3000.0,3001,2024-01-30,
IMG5H-44-3524,450.0,450,2024-01-30,
IMG5H-44-5024,400.0,400,2024-01-31,
IMG5H-44-5024,300.0,300,2024-02-01,
IMG5H-44-4524,2000.0,2000,2024-02-07,
IMG5H-44-3624,600.0,600,2024-02-07,
IMG5H-44-5024,400.0,400,2024-02-08,
IMG5H-44-4224,600.0,600,2024-02-14,
IMG5H-44-4524,2100.0,2100,2024-02-15,
IMG5H-44-4518,2200.0,2200,2024-02-20,
IMG5H-44-2424,5.0,5,2024-02-23,
IMG5H-44-4524,2050.0,2050,2024-02-26,
IMG5H-44-3624,550.0,550,2024-02-26,
IMG5H-44-3624_Unflip,250.0,250,2024-02-26,
IMG5H-44-5024,400.0,400,2024-02-27,
IMB5-44-4524,1450.0,1449,2024-02-28,
IMG5H-44-4024,600.0,600,2024-03-05,
IMG5H-44-5024,400.0,400,2024-03-06,
IMG5H-44-3624_Unflip,300.0,300,2024-03-06,
IMG5H-44-3624,800.0,800,2024-03-07,
IMG5H-44-3024,725.0,728,2024-03-11,
IMG5H-44-3624_Unflip,300.0,300,2024-03-11,
IMG5H-44-3624,400.0,400,2024-03-12,
IMG5H-44-4024,1000.0,1000,2024-03-14,
IMG5H-44-5024,400.0,401,2024-03-18,
IMG5H-44-5024,400.0,400,2024-03-19,
IMG5H-44-4224,600.0,602,2024-03-19,
IMG5H-44-3624_Unflip,300.0,300,2024-03-20,
IMG5H-44-3624_Unflip,600.0,600,2024-03-20,
IMG5H-44-3624_Unflip,350.0,350,2024-03-20,
IMG5H-44-3024,100.0,100,2024-03-20,
IMG5H-44-4517,650.0,652,2024-03-25,
IMG5H-44-4517,300.0,300,2024-03-25,
IMG5H-44-5024,400.0,400,2024-03-26,
IMG5H-44-5024,400.0,400,2024-03-26,
IMG5H-44-3624_Unflip,600.0,600,2024-03-27,
IMG5H-44-4524,1000.0,1000,2024-04-02,
IMB5-44-4517,750.0,750,2024-04-04,
IMB5-44-4524,600.0,650,2024-04-08,
IMG5H-44-4524,1000.0,1000,2024-04-09,
IMG5H-44-4524,1000.0,1000,2024-04-10,
IMG5H-44-4224,550.0,550,2024-04-11,
IMG5H-44-3024,700.0,700,2024-04-15,
IMG5H-44-3624_Unflip,500.0,500,2024-04-16,
IMG5H-44-3624_Unflip,300.0,300,2024-04-16,
IMG5H-44-5024,400.0,400,2024-04-17,
