comment,ross_order,dmw_product,ross_code,qty,same_next_day,date,week,qty_day,achieved,qty_aft,achieved_1,qty_nght,achieved_2,kg_sht,planned_totals,act_totals,sheets_per_hour,spm,c_wires
,,,,,N,2025-12-01,49.0,,,,,,,,,,,,
,,,,,N,2025-12-02,49.0,,,,,,,,,,,,
,,,,,N,2025-12-03,49.0,,,,,,,,,,,,
,,,,,N,2025-12-04,49.0,,,,,,,,,,,,
,,,,,N,2025-12-05,,,,,,,,,,,,,
,,,,,N,2025-12-06,,,,,,,,,,,,,
,,,,,N,2025-12-07,,,,,,,,,,,,,
,,,,,N,2025-12-08,,,,,,,,,,,,,
,,,,,N,2025-12-09,,,,,,,,,,,,,
,,,,,N,2025-12-10,,,,,,,,,,,,,
,,,,,N,2025-12-11,,,,,,,,,,,,,
,,,,,N,2025-12-12,,,,,,,,,,,,,
,,,,,N,2025-12-13,,,,,,,,,,,,,
,,,,,N,2025-12-14,,,,,,,,,,,,,
,,,,,N,2025-12-15,,,,,,,,,,,,,
,,,,,N,2025-12-16,,,,,,,,,,,,,
