comment,ross_order,dmw_product,ross_code,qty,same_next_day,date,week,qty_day,achieved,qty_aft,achieved_1,qty_nght,achieved_2,kg_sht,planned_totals,act_totals,sheets_per_hour,spm,c_wires
Seattle - May Batch 2,SEA2276,IMG5H-44-4524,CCP45241010056G,3300.0,S,2025-04-30,18.0,0.0,0.0,0.0,200.0,,,43.1,0.0,8.62,71.73913043478261,55,46
Seattle - May Batch 2,SEA2276,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-05-01,18.0,475.0,350.0,475.0,,,,43.1,40.945,15.085,71.73913043478261,55,46
Seattle - May Batch 2,SEA2276,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-05-02,18.0,0.0,0.0,0.0,,,,43.1,0.0,0.0,71.73913043478261,55,46
,,,,,N,2025-05-03,18.0,,,,,,,43.1,0.0,0.0,71.73913043478261,55,46
,,,,,N,2025-05-04,19.0,,,,,,,43.1,0.0,0.0,71.73913043478261,55,46
Seattle - May Batch 2,SEA2276,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-05-05,19.0,100.0,225.0,550.0,650.0,,,43.1,28.015,37.7125,71.73913043478261,55,46
Seattle - May Batch 2,SEA2276,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-05-06,19.0,100.0,475.0,550.0,650.0,,,43.1,28.015,48.4875,71.73913043478261,55,46
Seattle - May Batch 2,SEA2276,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-05-07,19.0,100.0,425.0,550.0,125.0,,,43.1,28.015,23.705,71.73913043478261,55,46
Adelaide,,IMG5H-44-4024,CCP40241010056G,2400.0,S,2025-05-07,19.0,0.0,0.0,600.0,600.0,,,39.1,23.46,23.46,80.48780487804878,55,41
Adelaide,,IMG5H-44-4024,CCP40241010056G,2400.0,N,2025-05-08,19.0,0.0,0.0,600.0,500.0,,,39.1,23.46,19.55,80.48780487804878,55,41
Adelaide,,IMG5H-44-4024,CCP40241010056G,2400.0,N,2025-05-09,19.0,0.0,0.0,500.0,1000.0,,,39.1,19.55,39.1,80.48780487804878,55,41
,,,,,N,2025-05-10,19.0,,,,,,,39.1,0.0,0.0,80.48780487804878,55,41
,,,,,N,2025-05-11,20.0,,,,,,,39.1,0.0,0.0,80.48780487804878,55,41
Adelaide,,IMG5H-44-4024,CCP40241010056G,2400.0,N,2025-05-12,20.0,0.0,0.0,0.0,0.0,,,43.1,0.0,0.0,71.73913043478261,55,46
Adelaide,,IMG5H-44-4024,CCP40241010056G,2400.0,N,2025-05-13,20.0,300.0,200.0,0.0,0.0,,,39.1,11.73,7.82,80.48780487804878,55,41
For Brisbane,250672,IMG5H-44-4024,CCP40241010056G,3300.0,S,2025-05-13,20.0,100.0,135.0,300.0,475.0,,,43.1,17.24,26.291,71.73913043478261,55,46
For Brisbane,250672,IMG5H-44-4024,CCP40241010056G,3300.0,N,2025-05-14,20.0,600.0,500.0,300.0,475.0,,,43.1,38.79,42.0225,71.73913043478261,55,46
For Brisbane,250672,IMG5H-44-4024,CCP40241010056G,3300.0,N,2025-05-15,20.0,600.0,525.0,300.0,475.0,,,43.1,38.79,43.1,71.73913043478261,55,46
For Brisbane,250672,IMG5H-44-4024,CCP40241010056G,3300.0,N,2025-05-16,20.0,600.0,500.0,300.0,215.0,,,43.1,38.79,30.8165,71.73913043478261,55,46
For Perth,251127,IMG5H-44-3612,SMF36121010056G,500.0,S,2025-05-16,20.0,250.0,0.0,,0.0,,,17.6,4.4,0.0,89.1891891891892,55,37
For Perth,251127,IMG5H-44-3612,SMF36121010056G,500.0,N,2025-05-17,20.0,,0.0,,500.0,,,45.9,0.0,22.95,67.34693877551021,55,49
For Perth,251127,IMG5H-44-3612,SMF36121010056G,500.0,N,2025-05-18,21.0,,0.0,,0.0,,,45.9,0.0,0.0,67.34693877551021,55,49
For Brisbane,250672,IMG5H-44-4824,CCP48241010056G,1500.0,N,2025-05-19,21.0,300.0,225.0,600.0,550.0,,,45.9,41.31,35.5725,67.34693877551021,55,49
For Brisbane,250672,IMG5H-44-4824,CCP48241010056G,1500.0,N,2025-05-20,21.0,300.0,450.0,275.0,275.0,,,45.9,26.3925,33.2775,67.34693877551021,55,49
For Brisbane,,IMG5H-44-4824,CCP48241010056G,1500.0,S,2025-05-20,21.0,0.0,0.0,250.0,350.0,,,45.9,11.475,16.065,67.34693877551021,55,49
For Brisbane,,IMG5H-44-4824,CCP48241010056G,1500.0,N,2025-05-21,21.0,300.0,225.0,600.0,600.0,,,45.9,41.31,37.8675,67.34693877551021,55,49
For Brisbane,,IMG5H-44-4824,CCP48241010056G,1500.0,N,2025-05-22,21.0,250.0,300.0,0.0,,,,45.9,11.475,13.77,67.34693877551021,55,49
For Adelaide,251083,IMG5H-44-4524,CCP45241010056G,2200.0,S,2025-05-22,21.0,100.0,75.0,475.0,475.0,,,43.1,24.7825,23.705,71.73913043478261,55,46
For Adelaide,251083,IMG5H-44-4524,CCP45241010056G,2200.0,N,2025-05-23,21.0,300.0,400.0,600.0,480.0,,,43.1,38.79,37.928,71.73913043478261,55,46
,,,,,N,2025-05-24,21.0,,,,,,,43.1,0.0,0.0,71.73913043478261,55,46
,,,,,N,2025-05-25,22.0,,,,,,,43.1,0.0,0.0,71.73913043478261,55,46
For Adelaide,251083,IMG5H-44-4524,CCP45241010056G,2200.0,N,2025-05-26,22.0,475.0,425.0,300.0,345.0,,,43.1,33.4025,33.187,71.73913043478261,55,46
Seattle - June Batch 1,SEA2277,IMG5H44-4524 ,CCP45241010056G,3300.0,S,2025-05-26,22.0,0.0,0.0,300.0,55.0,,,43.1,12.93,2.3705,71.73913043478261,55,46
Seattle - June Batch 1,SEA2277,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-05-27,22.0,475.0,475.0,300.0,475.0,,,43.1,33.4025,40.945,71.73913043478261,55,46
Seattle - June Batch 1,SEA2277,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-05-28,22.0,475.0,475.0,300.0,450.0,,,43.1,33.4025,39.8675,71.73913043478261,55,46
Seattle - June Batch 1,SEA2277,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-05-29,22.0,475.0,425.0,300.0,475.0,,,43.1,33.4025,38.79,71.73913043478261,55,46
Seattle - June Batch 1,SEA2277,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-05-30,22.0,475.0,475.0,0.0,0.0,,,43.1,20.4725,20.4725,71.73913043478261,55,46
For Brisbane,251084,IMG5H44-4529,CCP45241010056G,3300.0,S,2025-05-30,22.0,0.0,0.0,475.0,425.0,,,43.1,20.4725,18.3175,71.73913043478261,55,46
,,,,,N,2025-05-31,22.0,,,,,,,43.1,0.0,0.0,71.73913043478261,55,46
,,,,,N,2025-06-01,23.0,,,,,,,43.1,0.0,0.0,71.73913043478261,55,46
For Brisbane,251084,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-06-02,23.0,0.0,,0.0,,,,43.1,0.0,0.0,71.73913043478261,55,46
For Brisbane,251084,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-06-03,23.0,475.0,400.0,300.0,450.0,,,43.1,33.4025,36.635,71.73913043478261,55,46
For Brisbane,251084,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-06-04,23.0,475.0,500.0,300.0,478.0,,,43.1,33.4025,42.1518,71.73913043478261,55,46
For Brisbane,251084,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-06-05,23.0,475.0,475.0,400.0,450.0,,,43.1,37.7125,39.8675,71.73913043478261,55,46
For Brisbane,251084,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-06-06,23.0,0.0,0.0,200.0,475.0,,,43.1,8.62,20.4725,71.73913043478261,55,46
,,,,,N,2025-06-07,23.0,,,,,,,43.1,0.0,0.0,71.73913043478261,55,46
,,,,,N,2025-06-08,24.0,,,,,,,43.1,0.0,0.0,71.73913043478261,55,46
Seattle - June Batch 2,SEA2278,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-06-09,24.0,450.0,229.0,0.0,,,,43.1,19.395,9.8699,71.73913043478261,55,46
Seattle - June Batch 2,SEA2278,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-06-10,24.0,450.0,475.0,475.0,450.0,,,45.9,42.4575,42.4575,67.34693877551021,55,49
Seattle - June Batch 2,SEA2278,IMG5H-44-4524,CCP45241010056G,3300.0,N,2025-06-11,24.0,450.0,350.0,475.0,475.0,,,43.1,39.8675,35.5575,71.73913043478261,55,46
