comment,ross_order,dmw_product,ross_code,qty,same_next_day,date,week,qty_day,achieved,qty_aft,achieved_1,qty_nght,achieved_2,kg_sht,planned_totals,act_totals,sheets_per_hour,spm,c_wires
7.0mm C12D,WIP,R500L5.6-Coils,CW500L5.6,120000.0,S,2025-05-30,22,,,,3980.0,,,1000.0,0.0,3980.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-05-31,22,,10195.0,,,,,1000.0,0.0,10195.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-01,23,,14218.0,,,,,1000.0,0.0,14218.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-02,23,,16260.0,,22340.0,,,1000.0,0.0,38600.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-03,23,,,,,,,1000.0,0.0,0.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-04,23,,,,,,,1000.0,0.0,0.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-05,23,,,,15810.0,,,1000.0,0.0,15810.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-06,23,,8977.0,,7835.0,,,1000.0,0.0,16812.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-07,23,,8125.0,,7875.0,,,1000.0,0.0,16000.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-08,24,,3430.0,,3856.0,,,1000.0,0.0,7286.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-09,24,,,,,,,1000.0,0.0,0.0,,,
7.0mm C12D,WIP,R500L5.6-Coils,CW500L5.6,120000.0,N,2025-06-10,24,,4075.0,,5839.0,,,1000.0,0.0,9914.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-11,24,,8176.0,,5950.0,,,1000.0,0.0,14126.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-12,24,,8490.0,,3975.0,,,1000.0,0.0,12465.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-13,24,,6310.0,,6246.0,,,1000.0,0.0,12556.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-14,24,,4081.0,,6160.0,,,1000.0,0.0,10241.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-15,25,,8190.0,,,,,1000.0,0.0,8190.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-16,25,,7715.0,,6210.0,,,1000.0,0.0,13925.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-17,25,,,,5730.0,,,1000.0,0.0,5730.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-18,25,,6285.0,,8130.0,,,1000.0,0.0,14415.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-19,25,,6200.0,,9060.0,,,1000.0,0.0,15260.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-20,25,,7660.0,,10365.0,,,1000.0,0.0,18025.0,,,
7.0mm C12D,WIP,R500L5.6-Coils,CW500L5.6,120000.0,S,2025-06-20,25,,,,6080.0,,,1000.0,0.0,6080.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-21,25,,16644.0,,18675.0,,,1000.0,0.0,35319.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-22,26,,17390.0,,,,,1000.0,0.0,17390.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-23,26,,6195.0,,11905.0,,,1000.0,0.0,18100.0,,,
