comment,ross_order,dmw_product,ross_code,qty,same_next_day,date,week,qty_day,achieved,qty_aft,achieved_1,qty_nght,achieved_2,kg_sht,planned_totals,act_totals,sheets_per_hour,spm,c_wires
251084,IMB45-66-5117-DEN,IMB45-66-5117-DEN,SMB5118151505,,S,2025-05-30,22,,74,,,,,28.27,0.0,2.09198,25,,
250356,IMG5-44-5716,IMG5-44-5716,SMF5716101005G,,S,2025-05-30,22,,,,610,,,35.57,0.0,21.6977,25,,
250356,,IMG5-44-5716,SMF5716101005G,,N,2025-05-31,22,,510,,510,,,35.57,0.0,36.281400000000005,25,,
250356,,IMG5-44-5716,SMF5716101005G,,N,2025-06-01,23,,,,510,,,35.57,0.0,18.1407,25,,
250356,,IMG5-44-5716,SMF5716101005G,,N,2025-06-02,23,,,,510,,,35.57,0.0,18.1407,25,,
250356,,IMG5-44-5716,SMF5716101005G,,N,2025-06-03,23,,90,,,,,35.57,0.0,3.2013000000000003,25,,
251128,IMG3H-44-2417-DQL,IMG3H-44-2417-DQL,SMF3H24171010G,,S,2025-06-03,23,,900,,1500,,,5.25,0.0,12.6,25,,
251128,,IMG3H-44-2417-DQL,SMF3H24171010G,,N,2025-06-04,23,,1300,,1250,,,5.25,0.0,13.3875,25,,
250356,IMG5-44-5716,IMG5-44-5716,SMF5716101005G,,N,2025-06-05,23,,450,,390,,,35.57,0.0,29.8788,25,,
251128,IMG3H-44-2417-DQL,IMG3H-44-2417-DQL,SMF3H24171010G,,S,2025-06-05,23,,,,500,,,5.25,0.0,2.625,25,,
251128,,IMG3H-44-2417-DQL,SMF3H24171010G,,N,2025-06-06,23,,650,,400,,,5.25,0.0,5.5125,25,,
250672,IMB3.15-44-2420,IMB3H-44-2420-DCLA,SMF2420101003,,S,2025-06-06,23,,,,700,,,9.15,0.0,6.405,25,,
250356,IMG5-44-5716,IMG5-44-5716,SMF5716101005G,,S,2025-06-06,23,,90,,,,,35.57,0.0,3.2013000000000003,25,,
250356,,IMG5-44-5716,SMF5716101005G,,N,2025-06-07,23,,,,,,,,0.0,0.0,25,,
250356,,IMG5-44-5716,SMF5716101005G,,N,2025-06-08,24,,,,,,,,0.0,0.0,25,,
250356,,IMG5-44-5716,SMF5716101005G,,N,2025-06-09,24,,300,,,,,35.57,0.0,10.671,25,,
250298,IMB5-44-5014-JNA,IMB5-44-5014-JNA,CC5014101005,,S,2025-06-09,24,,88,,352,,,25.25,0.0,11.11,25,,
250298,,IMB5-44-5014-JNA,CC5014101005,,N,2025-06-10,24,,440,,,,,25.25,0.0,11.11,25,,
250356,IMG5-44-5716,IMG5-44-5716,SMF5716101005G,,S,2025-06-10,24,,,,630,,,35.57,0.0,22.4091,25,,
250298,IMB5-44-5014-JNA,IMB5-44-5014-JNA,CC5014101005,,N,2025-06-11,24,,418,,682,,,25.25,0.0,27.775,25,,
250298,,IMB5-44-5014-JNA,CC5014101005,,N,2025-06-12,24,,308,,264,,,25.25,0.0,14.443,25,,
250356,IMG5-44-5716,IMG5-44-5716,SMF5716101005G,,S,2025-06-12,24,,,,360,,,35.57,0.0,12.8052,25,,
250356,,IMG5-44-5716,SMF5716101005G,,N,2025-06-13,24,,360,,330,,,35.57,0.0,24.5433,25,,
250356,IMB5-44-5716,IMG5-44-5716,SMF5716101005G,,S,2025-06-13,24,,,,180,,,35.57,0.0,6.4026000000000005,25,,
250356,,IMG5-44-5716,SMF5716101005G,,N,2025-06-14,24,,510,,510,,,35.57,0.0,36.281400000000005,25,,
251128,IMB5-44-4814-JCR,IMB45-46-4814-JCR,SMB48141015045,,N,2025-06-15,25,,,,510,,,24.76,0.0,12.6276,25,,
251128,,IMB45-46-4814-JCR,SMB48141015045,,N,2025-06-16,25,,570,,,,,24.76,0.0,14.1132,25,,
250356,IMB5-44-5716,IMG5-44-5716,SMF5716101005G,,S,2025-06-16,25,,,,360,,,35.57,0.0,12.8052,25,,
250356,,IMG5-44-5716,SMF5716101005G,,N,2025-06-17,25,,360,,,,,35.57,0.0,12.8052,25,,
251084,IMLG5-64-5113,IMB5-64-5113 JMOL (new),SMB5113515105S,,S,2025-06-17,25,,,,506,,,22.2,0.0,11.233199999999998,25,,
251084,,IMB5-64-5113 JMOL (new),SMB5113515105S,,N,2025-06-18,25,,,,704,,,22.2,0.0,15.6288,25,,
251084,IMG5H44-4524-packing for loading ,IMG5H-44-4524,CCP45241010056G,,S,2025-06-18,25,,1400,,,,,49.5,0.0,69.3,25,,
251084,IMLG5-64-5113,IMB5-64-5113 JMOL (new),SMB5113515105S,,N,2025-06-19,25,,396,,198,,,22.2,0.0,13.1868,25,,
250399,IMB4H-44-5024,IMB4H-44-5024,SMB4H50241010,,S,2025-06-19,25,,,,350,,,30.9,0.0,10.815,25,,
